"행정구역(시군구)별","성별","연령별","항목","단위","2014 년",
"전국","계","계","주민등록연앙인구[명]","명","50763158",
"전국","계","0세","주민등록연앙인구[명]","명","420635",
"전국","계","1세","주민등록연앙인구[명]","명","462658",
"전국","계","2세","주민등록연앙인구[명]","명","480953",
"전국","계","3세","주민등록연앙인구[명]","명","473310",
"전국","계","4세","주민등록연앙인구[명]","명","459687.5",
"전국","계","5세","주민등록연앙인구[명]","명","457520.5",
"전국","계","6세","주민등록연앙인구[명]","명","481535.5",
"전국","계","7세","주민등록연앙인구[명]","명","472114.5",
"전국","계","8세","주민등록연앙인구[명]","명","442393.5",
"전국","계","9세","주민등록연앙인구[명]","명","454665",
"전국","계","10세","주민등록연앙인구[명]","명","483349",
"전국","계","11세","주민등록연앙인구[명]","명","493761",
"전국","계","12세","주민등록연앙인구[명]","명","526714",
"전국","계","13세","주민등록연앙인구[명]","명","598792.5",
"전국","계","14세","주민등록연앙인구[명]","명","628826.5",
"전국","계","15세","주민등록연앙인구[명]","명","629001.5",
"전국","계","16세","주민등록연앙인구[명]","명","654632",
"전국","계","17세","주민등록연앙인구[명]","명","677053.5",
"전국","계","18세","주민등록연앙인구[명]","명","694978",
"전국","계","19세","주민등록연앙인구[명]","명","708713.5",
"전국","계","20세","주민등록연앙인구[명]","명","709368",
"전국","계","21세","주민등록연앙인구[명]","명","714542",
"전국","계","22세","주민등록연앙인구[명]","명","710320.5",
"전국","계","23세","주민등록연앙인구[명]","명","667595.5",
"전국","계","24세","주민등록연앙인구[명]","명","631959.5",
"전국","계","25세","주민등록연앙인구[명]","명","624792.5",
"전국","계","26세","주민등록연앙인구[명]","명","617955.5",
"전국","계","27세","주민등록연앙인구[명]","명","618818.5",
"전국","계","28세","주민등록연앙인구[명]","명","636345.5",
"전국","계","29세","주민등록연앙인구[명]","명","653488.5",
"전국","계","30세","주민등록연앙인구[명]","명","701202.5",
"전국","계","31세","주민등록연앙인구[명]","명","781151",
"전국","계","32세","주민등록연앙인구[명]","명","827118.5",
"전국","계","33세","주민등록연앙인구[명]","명","834487",
"전국","계","34세","주민등록연앙인구[명]","명","828016.5",
"전국","계","35세","주민등록연앙인구[명]","명","770752",
"전국","계","36세","주민등록연앙인구[명]","명","746635",
"전국","계","37세","주민등록연앙인구[명]","명","766585",
"전국","계","38세","주민등록연앙인구[명]","명","771826.5",
"전국","계","39세","주민등록연앙인구[명]","명","819344",
"전국","계","40세","주민등록연앙인구[명]","명","870457",
"전국","계","41세","주민등록연앙인구[명]","명","888364.5",
"전국","계","42세","주민등록연앙인구[명]","명","912594.5",
"전국","계","43세","주민등록연앙인구[명]","명","923761.5",
"전국","계","44세","주민등록연앙인구[명]","명","914216",
"전국","계","45세","주민등록연앙인구[명]","명","918224.5",
"전국","계","46세","주민등록연앙인구[명]","명","887236",
"전국","계","47세","주민등록연앙인구[명]","명","832503",
"전국","계","48세","주민등록연앙인구[명]","명","827585.5",
"전국","계","49세","주민등록연앙인구[명]","명","835940.5",
"전국","계","50세","주민등록연앙인구[명]","명","806432",
"전국","계","51세","주민등록연앙인구[명]","명","830346",
"전국","계","52세","주민등록연앙인구[명]","명","891252",
"전국","계","53세","주민등록연앙인구[명]","명","912454.5",
"전국","계","54세","주민등록연앙인구[명]","명","881697",
"전국","계","55세","주민등록연앙인구[명]","명","810087",
"전국","계","56세","주민등록연앙인구[명]","명","770147.5",
"전국","계","57세","주민등록연앙인구[명]","명","729663.5",
"전국","계","58세","주민등록연앙인구[명]","명","704831",
"전국","계","59세","주민등록연앙인구[명]","명","663672.5",
"전국","계","60세","주민등록연앙인구[명]","명","568600.5",
"전국","계","61세","주민등록연앙인구[명]","명","554801",
"전국","계","62세","주민등록연앙인구[명]","명","503544",
"전국","계","63세","주민등록연앙인구[명]","명","438883.5",
"전국","계","64세","주민등록연앙인구[명]","명","455334",
"전국","계","65세","주민등록연앙인구[명]","명","456468.5",
"전국","계","66세","주민등록연앙인구[명]","명","456968.5",
"전국","계","67세","주민등록연앙인구[명]","명","411976.5",
"전국","계","68세","주민등록연앙인구[명]","명","345772.5",
"전국","계","69세","주민등록연앙인구[명]","명","337596",
"전국","계","70세","주민등록연앙인구[명]","명","349868.5",
"전국","계","71세","주민등록연앙인구[명]","명","391850.5",
"전국","계","72세","주민등록연앙인구[명]","명","392943.5",
"전국","계","73세","주민등록연앙인구[명]","명","333392.5",
"전국","계","74세","주민등록연앙인구[명]","명","317031.5",
"전국","계","75세","주민등록연앙인구[명]","명","304437",
"전국","계","76세","주민등록연앙인구[명]","명","276615",
"전국","계","77세","주민등록연앙인구[명]","명","255980.5",
"전국","계","78세","주민등록연앙인구[명]","명","240207.5",
"전국","계","79세","주민등록연앙인구[명]","명","219093.5",
"전국","계","80세 이상","주민등록연앙인구[명]","명","1206729",
"전국","계","80세","주민등록연앙인구[명]","명","188895.5",
"전국","계","81세","주민등록연앙인구[명]","명","165411",
"전국","계","82세","주민등록연앙인구[명]","명","142763.5",
"전국","계","83세","주민등록연앙인구[명]","명","122349.5",
"전국","계","84세","주민등록연앙인구[명]","명","110256.5",
"전국","계","85세 이상","주민등록연앙인구[명]","명","477053",
"전국","계","85세","주민등록연앙인구[명]","명","96087.5",
"전국","계","86세","주민등록연앙인구[명]","명","81085.5",
"전국","계","87세","주민등록연앙인구[명]","명","64456",
"전국","계","88세","주민등록연앙인구[명]","명","50866.5",
"전국","계","89세","주민등록연앙인구[명]","명","41196",
"전국","계","90세","주민등록연앙인구[명]","명","35681",
"전국","계","91세","주민등록연앙인구[명]","명","31212",
"전국","계","92세","주민등록연앙인구[명]","명","22813",
"전국","계","93세","주민등록연앙인구[명]","명","15907.5",
"전국","계","94세","주민등록연앙인구[명]","명","11446",
"전국","계","95세","주민등록연앙인구[명]","명","7991.5",
"전국","계","96세","주민등록연앙인구[명]","명","5817",
"전국","계","97세","주민등록연앙인구[명]","명","4158.5",
"전국","계","98세","주민등록연앙인구[명]","명","2762.5",
"전국","계","99세","주민등록연앙인구[명]","명","1880.5",
"전국","계","100세 이상","주민등록연앙인구[명]","명","3692",
"서울특별시","계","계","주민등록연앙인구[명]","명","9970992.5",
"서울특별시","계","0세","주민등록연앙인구[명]","명","78335",
"서울특별시","계","1세","주민등록연앙인구[명]","명","83607",
"서울특별시","계","2세","주민등록연앙인구[명]","명","84395.5",
"서울특별시","계","3세","주민등록연앙인구[명]","명","81435.5",
"서울특별시","계","4세","주민등록연앙인구[명]","명","78591",
"서울특별시","계","5세","주민등록연앙인구[명]","명","78157",
"서울특별시","계","6세","주민등록연앙인구[명]","명","82024",
"서울특별시","계","7세","주민등록연앙인구[명]","명","80386.5",
"서울특별시","계","8세","주민등록연앙인구[명]","명","75532.5",
"서울특별시","계","9세","주민등록연앙인구[명]","명","78156",
"서울특별시","계","10세","주민등록연앙인구[명]","명","83372.5",
"서울특별시","계","11세","주민등록연앙인구[명]","명","84660.5",
"서울특별시","계","12세","주민등록연앙인구[명]","명","89924",
"서울특별시","계","13세","주민등록연앙인구[명]","명","102240.5",
"서울특별시","계","14세","주민등록연앙인구[명]","명","107968.5",
"서울특별시","계","15세","주민등록연앙인구[명]","명","108797",
"서울특별시","계","16세","주민등록연앙인구[명]","명","114265",
"서울특별시","계","17세","주민등록연앙인구[명]","명","119280.5",
"서울특별시","계","18세","주민등록연앙인구[명]","명","124173",
"서울특별시","계","19세","주민등록연앙인구[명]","명","130911.5",
"서울특별시","계","20세","주민등록연앙인구[명]","명","133559.5",
"서울특별시","계","21세","주민등록연앙인구[명]","명","137115.5",
"서울특별시","계","22세","주민등록연앙인구[명]","명","142194",
"서울특별시","계","23세","주민등록연앙인구[명]","명","140399.5",
"서울특별시","계","24세","주민등록연앙인구[명]","명","138420.5",
"서울특별시","계","25세","주민등록연앙인구[명]","명","143305.5",
"서울특별시","계","26세","주민등록연앙인구[명]","명","146937.5",
"서울특별시","계","27세","주민등록연앙인구[명]","명","150178",
"서울특별시","계","28세","주민등록연앙인구[명]","명","157018",
"서울특별시","계","29세","주민등록연앙인구[명]","명","160825.5",
"서울특별시","계","30세","주민등록연앙인구[명]","명","170319.5",
"서울특별시","계","31세","주민등록연앙인구[명]","명","184922",
"서울특별시","계","32세","주민등록연앙인구[명]","명","190586.5",
"서울특별시","계","33세","주민등록연앙인구[명]","명","188251.5",
"서울특별시","계","34세","주민등록연앙인구[명]","명","183222.5",
"서울특별시","계","35세","주민등록연앙인구[명]","명","165586",
"서울특별시","계","36세","주민등록연앙인구[명]","명","156405.5",
"서울특별시","계","37세","주민등록연앙인구[명]","명","159016.5",
"서울특별시","계","38세","주민등록연앙인구[명]","명","157351",
"서울특별시","계","39세","주민등록연앙인구[명]","명","163873",
"서울특별시","계","40세","주민등록연앙인구[명]","명","172057.5",
"서울특별시","계","41세","주민등록연앙인구[명]","명","175724.5",
"서울특별시","계","42세","주민등록연앙인구[명]","명","181693.5",
"서울특별시","계","43세","주민등록연앙인구[명]","명","182930.5",
"서울특별시","계","44세","주민등록연앙인구[명]","명","178285.5",
"서울특별시","계","45세","주민등록연앙인구[명]","명","174946",
"서울특별시","계","46세","주민등록연앙인구[명]","명","167157.5",
"서울특별시","계","47세","주민등록연앙인구[명]","명","155281.5",
"서울특별시","계","48세","주민등록연앙인구[명]","명","153834.5",
"서울특별시","계","49세","주민등록연앙인구[명]","명","158468.5",
"서울특별시","계","50세","주민등록연앙인구[명]","명","154762",
"서울특별시","계","51세","주민등록연앙인구[명]","명","157342.5",
"서울특별시","계","52세","주민등록연앙인구[명]","명","166232.5",
"서울특별시","계","53세","주민등록연앙인구[명]","명","172185",
"서울특별시","계","54세","주민등록연앙인구[명]","명","169915.5",
"서울특별시","계","55세","주민등록연앙인구[명]","명","159278",
"서울특별시","계","56세","주민등록연앙인구[명]","명","153725.5",
"서울특별시","계","57세","주민등록연앙인구[명]","명","147194.5",
