"행정구역(시군구)별","성별","연령별","항목","단위","2020 년",
"전국","계","계","주민등록연앙인구[명]","명","51349259",
"전국","계","0세","주민등록연앙인구[명]","명","280097",
"전국","계","1세","주민등록연앙인구[명]","명","317767",
"전국","계","2세","주민등록연앙인구[명]","명","347171",
"전국","계","3세","주민등록연앙인구[명]","명","387521.5",
"전국","계","4세","주민등록연앙인구[명]","명","428081",
"전국","계","5세","주민등록연앙인구[명]","명","442190",
"전국","계","6세","주민등록연앙인구[명]","명","440736",
"전국","계","7세","주민등록연앙인구[명]","명","465263.5",
"전국","계","8세","주민등록연앙인구[명]","명","482644",
"전국","계","9세","주민등록연앙인구[명]","명","474555",
"전국","계","10세","주민등록연앙인구[명]","명","460514",
"전국","계","11세","주민등록연앙인구[명]","명","458038",
"전국","계","12세","주민등록연앙인구[명]","명","481860",
"전국","계","13세","주민등록연앙인구[명]","명","472246.5",
"전국","계","14세","주민등록연앙인구[명]","명","442325.5",
"전국","계","15세","주민등록연앙인구[명]","명","454244.5",
"전국","계","16세","주민등록연앙인구[명]","명","482531",
"전국","계","17세","주민등록연앙인구[명]","명","492529",
"전국","계","18세","주민등록연앙인구[명]","명","525005",
"전국","계","19세","주민등록연앙인구[명]","명","596703",
"전국","계","20세","주민등록연앙인구[명]","명","626665.5",
"전국","계","21세","주민등록연앙인구[명]","명","626657",
"전국","계","22세","주민등록연앙인구[명]","명","651921.5",
"전국","계","23세","주민등록연앙인구[명]","명","674412",
"전국","계","24세","주민등록연앙인구[명]","명","692609",
"전국","계","25세","주민등록연앙인구[명]","명","706635.5",
"전국","계","26세","주민등록연앙인구[명]","명","707795.5",
"전국","계","27세","주민등록연앙인구[명]","명","713499.5",
"전국","계","28세","주민등록연앙인구[명]","명","709648",
"전국","계","29세","주민등록연앙인구[명]","명","667601",
"전국","계","30세","주민등록연앙인구[명]","명","632261",
"전국","계","31세","주민등록연앙인구[명]","명","624957",
"전국","계","32세","주민등록연앙인구[명]","명","618276.5",
"전국","계","33세","주민등록연앙인구[명]","명","618985",
"전국","계","34세","주민등록연앙인구[명]","명","636099.5",
"전국","계","35세","주민등록연앙인구[명]","명","652653",
"전국","계","36세","주민등록연앙인구[명]","명","699689",
"전국","계","37세","주민등록연앙인구[명]","명","778908.5",
"전국","계","38세","주민등록연앙인구[명]","명","824139",
"전국","계","39세","주민등록연앙인구[명]","명","831048",
"전국","계","40세","주민등록연앙인구[명]","명","824298",
"전국","계","41세","주민등록연앙인구[명]","명","766979.5",
"전국","계","42세","주민등록연앙인구[명]","명","742723.5",
"전국","계","43세","주민등록연앙인구[명]","명","762316.5",
"전국","계","44세","주민등록연앙인구[명]","명","767437",
"전국","계","45세","주민등록연앙인구[명]","명","814110.5",
"전국","계","46세","주민등록연앙인구[명]","명","864406.5",
"전국","계","47세","주민등록연앙인구[명]","명","881649",
"전국","계","48세","주민등록연앙인구[명]","명","904988",
"전국","계","49세","주민등록연앙인구[명]","명","915604",
"전국","계","50세","주민등록연앙인구[명]","명","905539.5",
"전국","계","51세","주민등록연앙인구[명]","명","908842",
"전국","계","52세","주민등록연앙인구[명]","명","877474",
"전국","계","53세","주민등록연앙인구[명]","명","822584",
"전국","계","54세","주민등록연앙인구[명]","명","816854.5",
"전국","계","55세","주민등록연앙인구[명]","명","824504.5",
"전국","계","56세","주민등록연앙인구[명]","명","794932",
"전국","계","57세","주민등록연앙인구[명]","명","817298.5",
"전국","계","58세","주민등록연앙인구[명]","명","875811.5",
"전국","계","59세","주민등록연앙인구[명]","명","895038.5",
"전국","계","60세","주민등록연앙인구[명]","명","863645",
"전국","계","61세","주민등록연앙인구[명]","명","792256.5",
"전국","계","62세","주민등록연앙인구[명]","명","752164.5",
"전국","계","63세","주민등록연앙인구[명]","명","711200",
"전국","계","64세","주민등록연앙인구[명]","명","685443.5",
"전국","계","65세","주민등록연앙인구[명]","명","644232.5",
"전국","계","66세","주민등록연앙인구[명]","명","550801.5",
"전국","계","67세","주민등록연앙인구[명]","명","535928.5",
"전국","계","68세","주민등록연앙인구[명]","명","484425.5",
"전국","계","69세","주민등록연앙인구[명]","명","420204",
"전국","계","70세","주민등록연앙인구[명]","명","433840",
"전국","계","71세","주민등록연앙인구[명]","명","432397",
"전국","계","72세","주민등록연앙인구[명]","명","429918",
"전국","계","73세","주민등록연앙인구[명]","명","384621",
"전국","계","74세","주민등록연앙인구[명]","명","319932.5",
"전국","계","75세","주민등록연앙인구[명]","명","309020.5",
"전국","계","76세","주민등록연앙인구[명]","명","316161",
"전국","계","77세","주민등록연앙인구[명]","명","348231.5",
"전국","계","78세","주민등록연앙인구[명]","명","343405.5",
"전국","계","79세","주민등록연앙인구[명]","명","285844",
"전국","계","80세 이상","주민등록연앙인구[명]","명","1895711.5",
"전국","계","80세","주민등록연앙인구[명]","명","265687",
"전국","계","81세","주민등록연앙인구[명]","명","249240",
"전국","계","82세","주민등록연앙인구[명]","명","220227",
"전국","계","83세","주민등록연앙인구[명]","명","197370.5",
"전국","계","84세","주민등록연앙인구[명]","명","178387",
"전국","계","85세 이상","주민등록연앙인구[명]","명","784800",
"전국","계","85세","주민등록연앙인구[명]","명","156024.5",
"전국","계","86세","주민등록연앙인구[명]","명","128727",
"전국","계","87세","주민등록연앙인구[명]","명","107223",
"전국","계","88세","주민등록연앙인구[명]","명","87482.5",
"전국","계","89세","주민등록연앙인구[명]","명","70193.5",
"전국","계","90세","주민등록연앙인구[명]","명","58821",
"전국","계","91세","주민등록연앙인구[명]","명","47542",
"전국","계","92세","주민등록연앙인구[명]","명","36839.5",
"전국","계","93세","주민등록연앙인구[명]","명","26335.5",
"전국","계","94세","주민등록연앙인구[명]","명","18505.5",
"전국","계","95세","주민등록연앙인구[명]","명","13371",
"전국","계","96세","주민등록연앙인구[명]","명","10622",
"전국","계","97세","주민등록연앙인구[명]","명","8440.5",
"전국","계","98세","주민등록연앙인구[명]","명","5448.5",
"전국","계","99세","주민등록연앙인구[명]","명","3386.5",
"전국","계","100세 이상","주민등록연앙인구[명]","명","5837.5",
"서울특별시","계","계","주민등록연앙인구[명]","명","9533412",
"서울특별시","계","0세","주민등록연앙인구[명]","명","48153",
"서울특별시","계","1세","주민등록연앙인구[명]","명","52620",
"서울특별시","계","2세","주민등록연앙인구[명]","명","56091",
"서울특별시","계","3세","주민등록연앙인구[명]","명","61495.5",
"서울특별시","계","4세","주민등록연앙인구[명]","명","67147.5",
"서울특별시","계","5세","주민등록연앙인구[명]","명","68896.5",
"서울특별시","계","6세","주민등록연앙인구[명]","명","68448",
"서울특별시","계","7세","주민등록연앙인구[명]","명","72070.5",
"서울특별시","계","8세","주민등록연앙인구[명]","명","74171",
"서울특별시","계","9세","주민등록연앙인구[명]","명","73289.5",
"서울특별시","계","10세","주민등록연앙인구[명]","명","71857",
"서울특별시","계","11세","주민등록연앙인구[명]","명","72278.5",
"서울특별시","계","12세","주민등록연앙인구[명]","명","77208",
"서울특별시","계","13세","주민등록연앙인구[명]","명","76312",
"서울특별시","계","14세","주민등록연앙인구[명]","명","72195",
"서울특별시","계","15세","주민등록연앙인구[명]","명","75246",
"서울특별시","계","16세","주민등록연앙인구[명]","명","80300",
"서울특별시","계","17세","주민등록연앙인구[명]","명","81838",
"서울특별시","계","18세","주민등록연앙인구[명]","명","87022",
"서울특별시","계","19세","주민등록연앙인구[명]","명","102944",
"서울특별시","계","20세","주민등록연앙인구[명]","명","111721.5",
"서울특별시","계","21세","주민등록연앙인구[명]","명","114361",
"서울특별시","계","22세","주민등록연앙인구[명]","명","124330.5",
"서울특별시","계","23세","주민등록연앙인구[명]","명","135769",
"서울특별시","계","24세","주민등록연앙인구[명]","명","145695.5",
"서울특별시","계","25세","주민등록연앙인구[명]","명","156145",
