"행정구역(시군구)별","성별","연령별","항목","단위","2016 년",
"전국","계","계","주민등록연앙인구[명]","명","51112971.5",
"전국","계","0세","주민등록연앙인구[명]","명","409098",
"전국","계","1세","주민등록연앙인구[명]","명","439788.5",
"전국","계","2세","주민등록연앙인구[명]","명","439481.5",
"전국","계","3세","주민등록연앙인구[명]","명","464456",
"전국","계","4세","주민등록연앙인구[명]","명","482097.5",
"전국","계","5세","주민등록연앙인구[명]","명","474158.5",
"전국","계","6세","주민등록연앙인구[명]","명","460276",
"전국","계","7세","주민등록연앙인구[명]","명","457923",
"전국","계","8세","주민등록연앙인구[명]","명","481795",
"전국","계","9세","주민등록연앙인구[명]","명","472283",
"전국","계","10세","주민등록연앙인구[명]","명","442495",
"전국","계","11세","주민등록연앙인구[명]","명","454675.5",
"전국","계","12세","주민등록연앙인구[명]","명","483306",
"전국","계","13세","주민등록연앙인구[명]","명","493662",
"전국","계","14세","주민등록연앙인구[명]","명","526521",
"전국","계","15세","주민등록연앙인구[명]","명","598557",
"전국","계","16세","주민등록연앙인구[명]","명","628497.5",
"전국","계","17세","주민등록연앙인구[명]","명","628457.5",
"전국","계","18세","주민등록연앙인구[명]","명","653811",
"전국","계","19세","주민등록연앙인구[명]","명","676231",
"전국","계","20세","주민등록연앙인구[명]","명","694059.5",
"전국","계","21세","주민등록연앙인구[명]","명","707930",
"전국","계","22세","주민등록연앙인구[명]","명","708689",
"전국","계","23세","주민등록연앙인구[명]","명","714033",
"전국","계","24세","주민등록연앙인구[명]","명","709972",
"전국","계","25세","주민등록연앙인구[명]","명","667482",
"전국","계","26세","주민등록연앙인구[명]","명","632002",
"전국","계","27세","주민등록연앙인구[명]","명","624859.5",
"전국","계","28세","주민등록연앙인구[명]","명","618048",
"전국","계","29세","주민등록연앙인구[명]","명","618877",
"전국","계","30세","주민등록연앙인구[명]","명","636374",
"전국","계","31세","주민등록연앙인구[명]","명","653368.5",
"전국","계","32세","주민등록연앙인구[명]","명","700900.5",
"전국","계","33세","주민등록연앙인구[명]","명","780597.5",
"전국","계","34세","주민등록연앙인구[명]","명","826309",
"전국","계","35세","주민등록연앙인구[명]","명","833641",
"전국","계","36세","주민등록연앙인구[명]","명","827049",
"전국","계","37세","주민등록연앙인구[명]","명","769645.5",
"전국","계","38세","주민등록연앙인구[명]","명","745499.5",
"전국","계","39세","주민등록연앙인구[명]","명","765322.5",
"전국","계","40세","주민등록연앙인구[명]","명","770471.5",
"전국","계","41세","주민등록연앙인구[명]","명","817859.5",
"전국","계","42세","주민등록연앙인구[명]","명","868899",
"전국","계","43세","주민등록연앙인구[명]","명","886568",
"전국","계","44세","주민등록연앙인구[명]","명","910409.5",
