"행정구역(시군구)별","성별","연령별","항목","단위","2018 년",
"전국","계","계","주민등록연앙인구[명]","명","51300879.5",
"전국","계","0세","주민등록연앙인구[명]","명","331722",
"전국","계","1세","주민등록연앙인구[명]","명","385664",
"전국","계","2세","주민등록연앙인구[명]","명","426981",
"전국","계","3세","주민등록연앙인구[명]","명","441487",
"전국","계","4세","주민등록연앙인구[명]","명","440314.5",
"전국","계","5세","주민등록연앙인구[명]","명","464973",
"전국","계","6세","주민등록연앙인구[명]","명","482491",
"전국","계","7세","주민등록연앙인구[명]","명","474414.5",
"전국","계","8세","주민등록연앙인구[명]","명","460424",
"전국","계","9세","주민등록연앙인구[명]","명","458025.5",
"전국","계","10세","주민등록연앙인구[명]","명","481847",
"전국","계","11세","주민등록연앙인구[명]","명","472301.5",
"전국","계","12세","주민등록연앙인구[명]","명","442482",
"전국","계","13세","주민등록연앙인구[명]","명","454542.5",
"전국","계","14세","주민등록연앙인구[명]","명","483014",
"전국","계","15세","주민등록연앙인구[명]","명","493268.5",
"전국","계","16세","주민등록연앙인구[명]","명","526025",
"전국","계","17세","주민등록연앙인구[명]","명","597753.5",
"전국","계","18세","주민등록연앙인구[명]","명","627485",
"전국","계","19세","주민등록연앙인구[명]","명","627494",
"전국","계","20세","주민등록연앙인구[명]","명","652767",
"전국","계","21세","주민등록연앙인구[명]","명","675141",
"전국","계","22세","주민등록연앙인구[명]","명","693229.5",
"전국","계","23세","주민등록연앙인구[명]","명","707165.5",
"전국","계","24세","주민등록연앙인구[명]","명","708107.5",
"전국","계","25세","주민등록연앙인구[명]","명","713607",
"전국","계","26세","주민등록연앙인구[명]","명","709770",
"전국","계","27세","주민등록연앙인구[명]","명","667526",
"전국","계","28세","주민등록연앙인구[명]","명","632138",
"전국","계","29세","주민등록연앙인구[명]","명","624923.5",
"전국","계","30세","주민등록연앙인구[명]","명","618248",
"전국","계","31세","주민등록연앙인구[명]","명","619084",
"전국","계","32세","주민등록연앙인구[명]","명","636346.5",
"전국","계","33세","주민등록연앙인구[명]","명","653092.5",
"전국","계","34세","주민등록연앙인구[명]","명","700371.5",
"전국","계","35세","주민등록연앙인구[명]","명","779793",
"전국","계","36세","주민등록연앙인구[명]","명","825271.5",
"전국","계","37세","주민등록연앙인구[명]","명","832362.5",
"전국","계","38세","주민등록연앙인구[명]","명","825741",
"전국","계","39세","주민등록연앙인구[명]","명","768232",
"전국","계","40세","주민등록연앙인구[명]","명","744071",
"전국","계","41세","주민등록연앙인구[명]","명","763883.5",
"전국","계","42세","주민등록연앙인구[명]","명","769045",
"전국","계","43세","주민등록연앙인구[명]","명","816051.5",
"전국","계","44세","주민등록연앙인구[명]","명","866824",
"전국","계","45세","주민등록연앙인구[명]","명","884276.5",
"전국","계","46세","주민등록연앙인구[명]","명","907816.5",
"전국","계","47세","주민등록연앙인구[명]","명","918581",
"전국","계","48세","주민등록연앙인구[명]","명","908699.5",
"전국","계","49세","주민등록연앙인구[명]","명","912214",
"전국","계","50세","주민등록연앙인구[명]","명","880881.5",
"전국","계","51세","주민등록연앙인구[명]","명","826136",
"전국","계","52세","주민등록연앙인구[명]","명","820547.5",
"전국","계","53세","주민등록연앙인구[명]","명","828469.5",
"전국","계","54세","주민등록연앙인구[명]","명","799051.5",
"전국","계","55세","주민등록연앙인구[명]","명","821957.5",
"전국","계","56세","주민등록연앙인구[명]","명","881278",
"전국","계","57세","주민등록연앙인구[명]","명","901213.5",
"전국","계","58세","주민등록연앙인구[명]","명","870121",
"전국","계","59세","주민등록연앙인구[명]","명","798535",
"전국","계","60세","주민등록연앙인구[명]","명","758438.5",
"전국","계","61세","주민등록연앙인구[명]","명","717798",
"전국","계","62세","주민등록연앙인구[명]","명","692415.5",
"전국","계","63세","주민등록연앙인구[명]","명","650861.5",
"전국","계","64세","주민등록연앙인구[명]","명","556612",
"전국","계","65세","주민등록연앙인구[명]","명","542690.5",
"전국","계","66세","주민등록연앙인구[명]","명","491739",
"전국","계","67세","주민등록연앙인구[명]","명","427444",
"전국","계","68세","주민등록연앙인구[명]","명","442282",
"전국","계","69세","주민등록연앙인구[명]","명","441709",
"전국","계","70세","주민등록연앙인구[명]","명","440299.5",
"전국","계","71세","주민등록연앙인구[명]","명","395103",
"전국","계","72세","주민등록연앙인구[명]","명","329768",
"전국","계","73세","주민등록연앙인구[명]","명","319935.5",
"전국","계","74세","주민등록연앙인구[명]","명","329059",
"전국","계","75세","주민등록연앙인구[명]","명","364779.5",
"전국","계","76세","주민등록연앙인구[명]","명","362015",
"전국","계","77세","주민등록연앙인구[명]","명","303766.5",
"전국","계","78세","주민등록연앙인구[명]","명","284973",
"전국","계","79세","주민등록연앙인구[명]","명","269822",
"전국","계","80세 이상","주민등록연앙인구[명]","명","1644088",
"전국","계","80세","주민등록연앙인구[명]","명","241008.5",
"전국","계","81세","주민등록연앙인구[명]","명","218966",
"전국","계","82세","주민등록연앙인구[명]","명","200939",
"전국","계","83세","주민등록연앙인구[명]","명","178722.5",
"전국","계","84세","주민등록연앙인구[명]","명","149998.5",
"전국","계","85세 이상","주민등록연앙인구[명]","명","654453.5",
"전국","계","85세","주민등록연앙인구[명]","명","127505",
"전국","계","86세","주민등록연앙인구[명]","명","106469.5",
"전국","계","87세","주민등록연앙인구[명]","명","87778",
"전국","계","88세","주민등록연앙인구[명]","명","75767",
"전국","계","89세","주민등록연앙인구[명]","명","62952",
"전국","계","90세","주민등록연앙인구[명]","명","50333",
"전국","계","91세","주민등록연앙인구[명]","명","37445",
"전국","계","92세","주민등록연앙인구[명]","명","27542",
"전국","계","93세","주민등록연앙인구[명]","명","20750.5",
"전국","계","94세","주민등록연앙인구[명]","명","16989",
"전국","계","95세","주민등록연앙인구[명]","명","13965",
"전국","계","96세","주민등록연앙인구[명]","명","9406",
"전국","계","97세","주민등록연앙인구[명]","명","6085.5",
"전국","계","98세","주민등록연앙인구[명]","명","4022",
"전국","계","99세","주민등록연앙인구[명]","명","2561.5",
"전국","계","100세 이상","주민등록연앙인구[명]","명","4882.5",
"서울특별시","계","계","주민등록연앙인구[명]","명","9642857",
"서울특별시","계","0세","주민등록연앙인구[명]","명","57982.5",
"서울특별시","계","1세","주민등록연앙인구[명]","명","65650",
"서울특별시","계","2세","주민등록연앙인구[명]","명","70758.5",
"서울특별시","계","3세","주민등록연앙인구[명]","명","71905",
"서울특별시","계","4세","주민등록연앙인구[명]","명","70906",
"서울특별시","계","5세","주민등록연앙인구[명]","명","74236.5",
"서울특별시","계","6세","주민등록연앙인구[명]","명","76048.5",
"서울특별시","계","7세","주민등록연앙인구[명]","명","74715",
"서울특별시","계","8세","주민등록연앙인구[명]","명","73086.5",
"서울특별시","계","9세","주민등록연앙인구[명]","명","73227",
"서울특별시","계","10세","주민등록연앙인구[명]","명","77676.5",
"서울특별시","계","11세","주민등록연앙인구[명]","명","76872.5",
"서울특별시","계","12세","주민등록연앙인구[명]","명","72980",
"서울특별시","계","13세","주민등록연앙인구[명]","명","75677.5",
"서울특별시","계","14세","주민등록연앙인구[명]","명","81011.5",
"서울특별시","계","15세","주민등록연앙인구[명]","명","82841.5",
"서울특별시","계","16세","주민등록연앙인구[명]","명","87679",
"서울특별시","계","17세","주민등록연앙인구[명]","명","100141",
"서울특별시","계","18세","주민등록연앙인구[명]","명","106150",
"서울특별시","계","19세","주민등록연앙인구[명]","명","109764",
"서울특별시","계","20세","주민등록연앙인구[명]","명","117071.5",
"서울특별시","계","21세","주민등록연앙인구[명]","명","123155.5",
"서울특별시","계","22세","주민등록연앙인구[명]","명","131253",
"서울특별시","계","23세","주민등록연앙인구[명]","명","141624.5",
"서울특별시","계","24세","주민등록연앙인구[명]","명","148896.5",
"서울특별시","계","25세","주민등록연앙인구[명]","명","157048.5",
"서울특별시","계","26세","주민등록연앙인구[명]","명","162556.5",
"서울특별시","계","27세","주민등록연앙인구[명]","명","157009",
"서울특별시","계","28세","주민등록연앙인구[명]","명","150129",
"서울특별시","계","29세","주민등록연앙인구[명]","명","148935",
"서울특별시","계","30세","주민등록연앙인구[명]","명","146768.5",
"서울특별시","계","31세","주민등록연앙인구[명]","명","144957",
"서울특별시","계","32세","주민등록연앙인구[명]","명","146464",
"서울특별시","계","33세","주민등록연앙인구[명]","명","146641",
"서울특별시","계","34세","주민등록연앙인구[명]","명","152649.5",
"서울특별시","계","35세","주민등록연앙인구[명]","명","163984.5",
"서울특별시","계","36세","주민등록연앙인구[명]","명","168230.5",
"서울특별시","계","37세","주민등록연앙인구[명]","명","166110",
"서울특별시","계","38세","주민등록연앙인구[명]","명","162265",
"서울특별시","계","39세","주민등록연앙인구[명]","명","148012.5",
"서울특별시","계","40세","주민등록연앙인구[명]","명","140978.5",
"서울특별시","계","41세","주민등록연앙인구[명]","명","144772",
"서울특별시","계","42세","주민등록연앙인구[명]","명","144627",
"서울특별시","계","43세","주민등록연앙인구[명]","명","151982.5",
"서울특별시","계","44세","주민등록연앙인구[명]","명","160899",
"서울특별시","계","45세","주민등록연앙인구[명]","명","165341.5",
"서울특별시","계","46세","주민등록연앙인구[명]","명","171506.5",
"서울특별시","계","47세","주민등록연앙인구[명]","명","172974",
"서울특별시","계","48세","주민등록연앙인구[명]","명","168732.5",
"서울특별시","계","49세","주민등록연앙인구[명]","명","165426.5",
"서울특별시","계","50세","주민등록연앙인구[명]","명","158032",
"서울특별시","계","51세","주민등록연앙인구[명]","명","146505.5",
"서울특별시","계","52세","주민등록연앙인구[명]","명","145052",
"서울특별시","계","53세","주민등록연앙인구[명]","명","148998",
"서울특별시","계","54세","주민등록연앙인구[명]","명","145143",
"서울특별시","계","55세","주민등록연앙인구[명]","명","147331.5",
"서울특별시","계","56세","주민등록연앙인구[명]","명","155198.5",
"서울특별시","계","57세","주민등록연앙인구[명]","명","160163.5",
"서울특별시","계","58세","주민등록연앙인구[명]","명","157592.5",
"서울특별시","계","59세","주민등록연앙인구[명]","명","147129.5",
"서울특별시","계","60세","주민등록연앙인구[명]","명","141741.5",
"서울특별시","계","61세","주민등록연앙인구[명]","명","135039.5",
"서울특별시","계","62세","주민등록연앙인구[명]","명","132298.5",
"서울특별시","계","63세","주민등록연앙인구[명]","명","125234.5",
"서울특별시","계","64세","주민등록연앙인구[명]","명","107911",
"서울특별시","계","65세","주민등록연앙인구[명]","명","105837.5",
"서울특별시","계","66세","주민등록연앙인구[명]","명","93536",
"서울특별시","계","67세","주민등록연앙인구[명]","명","81572.5",
"서울특별시","계","68세","주민등록연앙인구[명]","명","86190.5",
"서울특별시","계","69세","주민등록연앙인구[명]","명","85929",
"서울특별시","계","70세","주민등록연앙인구[명]","명","86280",
"서울특별시","계","71세","주민등록연앙인구[명]","명","78616.5",
"서울특별시","계","72세","주민등록연앙인구[명]","명","65967.5",
"서울특별시","계","73세","주민등록연앙인구[명]","명","62091",
"서울특별시","계","74세","주민등록연앙인구[명]","명","61740",
"서울특별시","계","75세","주민등록연앙인구[명]","명","66662",
"서울특별시","계","76세","주민등록연앙인구[명]","명","64732",
"서울특별시","계","77세","주민등록연앙인구[명]","명","52967.5",
"서울특별시","계","78세","주민등록연앙인구[명]","명","48142.5",
"서울특별시","계","79세","주민등록연앙인구[명]","명","44284",
"서울특별시","계","80세 이상","주민등록연앙인구[명]","명","254627",
"서울특별시","계","80세","주민등록연앙인구[명]","명","38897",
"서울특별시","계","81세","주민등록연앙인구[명]","명","34583.5",
"서울특별시","계","82세","주민등록연앙인구[명]","명","31145",
