"행정구역(시군구)별","성별","연령별","항목","단위","2015 년",
"전국","계","계","주민등록연앙인구[명]","명","50951719",
"전국","계","0세","주민등록연앙인구[명]","명","422182.5",
"전국","계","1세","주민등록연앙인구[명]","명","438330.5",
"전국","계","2세","주민등록연앙인구[명]","명","463897",
"전국","계","3세","주민등록연앙인구[명]","명","481665",
"전국","계","4세","주민등록연앙인구[명]","명","473899.5",
"전국","계","5세","주민등록연앙인구[명]","명","460064.5",
"전국","계","6세","주민등록연앙인구[명]","명","457820.5",
"전국","계","7세","주민등록연앙인구[명]","명","481708.5",
"전국","계","8세","주민등록연앙인구[명]","명","472242.5",
"전국","계","9세","주민등록연앙인구[명]","명","442474.5",
"전국","계","10세","주민등록연앙인구[명]","명","454684.5",
"전국","계","11세","주민등록연앙인구[명]","명","483311.5",
"전국","계","12세","주민등록연앙인구[명]","명","493756.5",
"전국","계","13세","주민등록연앙인구[명]","명","526637.5",
"전국","계","14세","주민등록연앙인구[명]","명","598679",
"전국","계","15세","주민등록연앙인구[명]","명","628710.5",
"전국","계","16세","주민등록연앙인구[명]","명","628798",
"전국","계","17세","주민등록연앙인구[명]","명","654250.5",
"전국","계","18세","주민등록연앙인구[명]","명","676656",
"전국","계","19세","주민등록연앙인구[명]","명","694601",
"전국","계","20세","주민등록연앙인구[명]","명","708290",
"전국","계","21세","주민등록연앙인구[명]","명","709040",
"전국","계","22세","주민등록연앙인구[명]","명","714331",
"전국","계","23세","주민등록연앙인구[명]","명","710207",
"전국","계","24세","주민등록연앙인구[명]","명","667572",
"전국","계","25세","주민등록연앙인구[명]","명","632005",
"전국","계","26세","주민등록연앙인구[명]","명","624878.5",
"전국","계","27세","주민등록연앙인구[명]","명","618072",
"전국","계","28세","주민등록연앙인구[명]","명","618906",
"전국","계","29세","주민등록연앙인구[명]","명","636377.5",
"전국","계","30세","주민등록연앙인구[명]","명","653464",
"전국","계","31세","주민등록연앙인구[명]","명","701133",
"전국","계","32세","주민등록연앙인구[명]","명","780964.5",
"전국","계","33세","주민등록연앙인구[명]","명","826800",
"전국","계","34세","주민등록연앙인구[명]","명","834149.5",
"전국","계","35세","주민등록연앙인구[명]","명","827684.5",
"전국","계","36세","주민등록연앙인구[명]","명","770292",
"전국","계","37세","주민등록연앙인구[명]","명","746129.5",
"전국","계","38세","주민등록연앙인구[명]","명","766029",
"전국","계","39세","주민등록연앙인구[명]","명","771260.5",
"전국","계","40세","주민등록연앙인구[명]","명","818673",
"전국","계","41세","주민등록연앙인구[명]","명","869779.5",
"전국","계","42세","주민등록연앙인구[명]","명","887620",
"전국","계","43세","주민등록연앙인구[명]","명","911657",
"전국","계","44세","주민등록연앙인구[명]","명","922666",
"전국","계","45세","주민등록연앙인구[명]","명","913090.5",
"전국","계","46세","주민등록연앙인구[명]","명","916958.5",
"전국","계","47세","주민등록연앙인구[명]","명","885715.5",
"전국","계","48세","주민등록연앙인구[명]","명","831095",
"전국","계","49세","주민등록연앙인구[명]","명","826058.5",
"전국","계","50세","주민등록연앙인구[명]","명","834161.5",
"전국","계","51세","주민등록연앙인구[명]","명","804803",
"전국","계","52세","주민등록연앙인구[명]","명","828438.5",
"전국","계","53세","주민등록연앙인구[명]","명","888998.5",
"전국","계","54세","주민등록연앙인구[명]","명","909839",
"전국","계","55세","주민등록연앙인구[명]","명","878935.5",
"전국","계","56세","주민등록연앙인구[명]","명","807415",
"전국","계","57세","주민등록연앙인구[명]","명","767399.5",
"전국","계","58세","주민등록연앙인구[명]","명","726854",
"전국","계","59세","주민등록연앙인구[명]","명","701939",
"전국","계","60세","주민등록연앙인구[명]","명","660823",
"전국","계","61세","주민등록연앙인구[명]","명","565806.5",
"전국","계","62세","주민등록연앙인구[명]","명","551778",
"전국","계","63세","주민등록연앙인구[명]","명","500583.5",
"전국","계","64세","주민등록연앙인구[명]","명","436147.5",
"전국","계","65세","주민등록연앙인구[명]","명","452485",
"전국","계","66세","주민등록연앙인구[명]","명","453280",
"전국","계","67세","주민등록연앙인구[명]","명","453294.5",
"전국","계","68세","주민등록연앙인구[명]","명","408204.5",
"전국","계","69세","주민등록연앙인구[명]","명","342215",
"전국","계","70세","주민등록연앙인구[명]","명","333673.5",
"전국","계","71세","주민등록연앙인구[명]","명","345167.5",
"전국","계","72세","주민등록연앙인구[명]","명","385765.5",
"전국","계","73세","주민등록연앙인구[명]","명","385972",
"전국","계","74세","주민등록연앙인구[명]","명","326769.5",
"전국","계","75세","주민등록연앙인구[명]","명","309692.5",
"전국","계","76세","주민등록연앙인구[명]","명","296676",
"전국","계","77세","주민등록연앙인구[명]","명","268535",
"전국","계","78세","주민등록연앙인구[명]","명","247529",
"전국","계","79세","주민등록연앙인구[명]","명","231189",
"전국","계","80세 이상","주민등록연앙인구[명]","명","1312079.5",
"전국","계","80세","주민등록연앙인구[명]","명","209781.5",
