"행정구역(시군구)별","성별","연령별","항목","단위","2019 년",
"전국","계","계","주민등록연앙인구[명]","명","51337423.5",
"전국","계","0세","주민등록연앙인구[명]","명","306395.5",
"전국","계","1세","주민등록연앙인구[명]","명","346237.5",
"전국","계","2세","주민등록연앙인구[명]","명","386969.5",
"전국","계","3세","주민등록연앙인구[명]","명","427661",
"전국","계","4세","주민등록연앙인구[명]","명","441919",
"전국","계","5세","주민등록연앙인구[명]","명","440543.5",
"전국","계","6세","주민등록연앙인구[명]","명","465153",
"전국","계","7세","주민등록연앙인구[명]","명","482541",
"전국","계","8세","주민등록연앙인구[명]","명","474492.5",
"전국","계","9세","주민등록연앙인구[명]","명","460448.5",
"전국","계","10세","주민등록연앙인구[명]","명","458034",
"전국","계","11세","주민등록연앙인구[명]","명","481829",
"전국","계","12세","주민등록연앙인구[명]","명","472274",
"전국","계","13세","주민등록연앙인구[명]","명","442398",
"전국","계","14세","주민등록연앙인구[명]","명","454393.5",
"전국","계","15세","주민등록연앙인구[명]","명","482778",
"전국","계","16세","주민등록연앙인구[명]","명","492928",
"전국","계","17세","주민등록연앙인구[명]","명","525496.5",
"전국","계","18세","주민등록연앙인구[명]","명","597072",
"전국","계","19세","주민등록연앙인구[명]","명","627020",
"전국","계","20세","주민등록연앙인구[명]","명","627061.5",
"전국","계","21세","주민등록연앙인구[명]","명","652265",
"전국","계","22세","주민등록연앙인구[명]","명","674713",
"전국","계","23세","주민등록연앙인구[명]","명","692849",
"전국","계","24세","주민등록연앙인구[명]","명","706912.5",
"전국","계","25세","주민등록연앙인구[명]","명","707870",
"전국","계","26세","주민등록연앙인구[명]","명","713595.5",
"전국","계","27세","주민등록연앙인구[명]","명","709696.5",
"전국","계","28세","주민등록연앙인구[명]","명","667537",
"전국","계","29세","주민등록연앙인구[명]","명","632178",
"전국","계","30세","주민등록연앙인구[명]","명","624960",
"전국","계","31세","주민등록연앙인구[명]","명","618241.5",
"전국","계","32세","주민등록연앙인구[명]","명","619006.5",
"전국","계","33세","주민등록연앙인구[명]","명","636130.5",
"전국","계","34세","주민등록연앙인구[명]","명","652828.5",
"전국","계","35세","주민등록연앙인구[명]","명","699970",
"전국","계","36세","주민등록연앙인구[명]","명","779243",
"전국","계","37세","주민등록연앙인구[명]","명","824609.5",
"전국","계","38세","주민등록연앙인구[명]","명","831633.5",
"전국","계","39세","주민등록연앙인구[명]","명","824865",
"전국","계","40세","주민등록연앙인구[명]","명","767489.5",
"전국","계","41세","주민등록연앙인구[명]","명","743353",
"전국","계","42세","주민등록연앙인구[명]","명","763032.5",
"전국","계","43세","주민등록연앙인구[명]","명","768131",
"전국","계","44세","주민등록연앙인구[명]","명","815123",
"전국","계","45세","주민등록연앙인구[명]","명","865554",
"전국","계","46세","주민등록연앙인구[명]","명","882865.5",
"전국","계","47세","주민등록연앙인구[명]","명","906289.5",
"전국","계","48세","주민등록연앙인구[명]","명","917004.5",
"전국","계","49세","주민등록연앙인구[명]","명","907016",
"전국","계","50세","주민등록연앙인구[명]","명","910428.5",
"전국","계","51세","주민등록연앙인구[명]","명","879095.5",
"전국","계","52세","주민등록연앙인구[명]","명","824288.5",
"전국","계","53세","주민등록연앙인구[명]","명","818646",
